date,title, body, key insights, type, canvas tag, hypotheses feedback
2015-04-11,"In Person Meeting with Elena Stoycheva (part 2), social assistant, ?",https://docs.google.com/document/d/1U9nKYF02Cx9RYuuKisD3ofrfLGlJHPmZdo8swpYbBt8/editNumber 6.,"1) ""I was thinking about your app… If something gets wrong (or if I think there is something wrong), what should I do? I might be too nervous to think"" >> We might offer some guidance, send some messages, in order to help parents to control their anxiety when something goes wrong
2) ""What if the kid sends a false alert? I'm not saying that because of Noah, he is a nice kid and old enough to not do this kind of things, but my niece [Lora, number 7] may do that"" >> In our content strategy, we may include interviews with educators or psychologists explaining to parents how to use the moment of downloading and starting use the app as a moment of education about safety and digital privacy.
3) ""We are very worried about her the most when she is with other parents. Some we know well, but some we don't know. We never know who the person really is"" >> Carpooling is a moment of stress for parents.",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-13,"In Person Meeting with John Qian, Student, Northwestern","John is a student at Northwestern, lives in Evanston, parents live in Chicago. Whenever heads back to school, parents want to make sure he gets back safely asking him to call them. Sometimes forgets, and parents have to call him later, making them nervous for kid's safety. If only they could track the route he took, because it automates the situation. &nbsp;Even as a college student, parents still care",College senior would use app because it automates his mom checking in on him,Customer Interview,Value Propositions,Teenagers & their parents
2015-04-08,High schools,,,Business Model Hypothesis,Key Partners,
2015-04-02,"In Person Meeting with Veronica, Working Professional, Navistar",Feels scared when an unknown cab driver like Uber comes to pick her up.She has knowledge about safety application but prefers to call parents and friends while traveling alone.Won't use app which will send too many alerts to people you have shared your locations with.,More keen on calling parents and friends rather than using a safety application,Customer Interview,,User testing to validate customer segment and the value proposition of our application
2015-04-01,"In Person Meeting with Katel Patel, Working Professional, Motorola",She feels scared while taking cab on vacation or traveling alone.She feels scared on empty parking lots and traveling at night.She doesn't have any knowledge about the safety applications but will use an application if it preserves her safety.She won't be like to be tracked everywhere.Our application has good potential to be used by Katel.,Will only use the application only if it preserves the Privacy.,Customer Interview,,User testing to validate customer segment and the value proposition of our application
2015-04-04,"In Person Meeting with Rachael, Working Professional, Mattersight",Rachael fears about her safety while walking alone or traveling on unknown routes.She is scared to walk after dark or use public transport late night.If she not aware that some safety applications do exist but will use one if it has good features.Also willing to pay for additional features such as audio recording.,She is not aware of the safety applications but is keen on using one which good features,Customer Interview,,User testing to validate customer segment and the value proposition of our application
2015-04-07,Advertising costs,,,Business Model Hypothesis,Cost Structure,
2015-04-07,Back end server,,,Business Model Hypothesis,Cost Structure,
2015-04-07,Parents' meetup groups,,,Business Model Hypothesis,Key Partners,
2015-04-07,Creating a content strategy,,,Business Model Hypothesis,Key Activities,
2015-04-07,User testing to validate customer segment and the value proposition of our application,,,Business Model Hypothesis,Key Activities,
2015-04-07,Apple developer account,,,Business Model Hypothesis,Key Resources,
2015-04-07,Mobile Development,,,Business Model Hypothesis,Key Activities,
2015-04-07,Provides a feeling of safety and connectivity between parents and teenagers while they are commuting,,,Business Model Hypothesis,Value Propositions,
2015-04-07,Build virtual presence to find where parents and teens meet online and talk directly to them,,,Business Model Hypothesis,Customer Relationships,
2015-04-07,"Build localized awareness (Evanston High Schools, Parent Teacher Associations)",,,Business Model Hypothesis,Customer Relationships,
2015-04-07,App stores (Android and Apple),,,Business Model Hypothesis,Channels,
2015-04-07,Fremium model,,,Business Model Hypothesis,Revenue Streams,
2015-04-07,"In Person Meeting with Vicky, Student, Northwestern",Ubers back home alone late nights after going outLives in north campus,"College student, would use app to feel safer, but doesnt know how the app we are designing could help her though",Customer Interview,,Feeling safe psychologically; Help the driver feel safe about the passenger
2015-04-06,"In Person Meeting with Kristen, 15, student, ?",https://docs.google.com/a/u.northwestern.edu/docum...Number 5,"1) ""I always have to call my mother anyway. I would prefer just to press a button and she will understand that I arrived, instead of calling. It would give me more freedom""
2) ""I should be able to share my location not only with my Facebook friends, but also with my contacts. Then, the app could notify my mom, dad, and grandmother if something happens to me"".
3) ""The panic button should work even if you decided not to share your location. It is for emergencies, right?""
4) ""Besides when I am commuting, I would also use it when I go to concerts or water parks. Sometimes we split up of our groups. It would be great if you can see where is everybody""",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-05,"In Person Meeting with Karl, 37, sales, ?",https://docs.google.com/a/u.northwestern.edu/docum...Number 4,"""How do you know they are really well? You should have a feature that sends a picture of them as soon as they arrive""",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-05,"In Person Meeting with Cela, 46, sales, Home Depot",https://docs.google.com/a/u.northwestern.edu/docum...Number 3,"Cela thinks the ""panic button"" should be linked to a secret code, agreed between her and her kids. The moment of agreeing the code will work as an educational conversation about responsibilities and privacy. ""Instead of having a generic message, the message should be something that will only work for me and my kids. If we had had this conversation before, they will know how important it is to have this 'secret code', would agree more easily to use the app and will only use it when something bad was happening"".",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-02,"Phone Call with Yasen, teacher, ?",https://docs.google.com/a/u.northwestern.edu/docum...Number 2,"- The app can be used also to track younger kids, since often times other parents are driving them
- Even if a teenager typically ""trouble maker"" does not agree in using it, it still can be useful if someone who is always with him/her agrees to use it.",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-02,"In Person Meeting with Elena, social assistant, ?",https://docs.google.com/a/u.northwestern.edu/docum...Number 1,"Elena and her husband think this app is more useful in abnormal situations. For instance, Noah is really into sports and sometimes he attends competitions in other states. In those situations, when he travels alone, they would like to know his location.",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-05,"In Person Meeting with Francis J, Trader, Consolidated","Would not use app, feels safe travelling aloneCould see why it could be useful for girl though",See below,Customer Interview,,Young Professionals
2015-04-05,"In Person Meeting with Wendy, Consultant, ZS Associates",a,"Would use app in cab as she travels home after work late

If only it could somehow integrate with Uber

Would use it for walking home too",Customer Interview,,Feeling safe psychologically; Provide a mechanism of early detection for misconduct when the user is in a third-party car
2015-04-05,"In Person Meeting with Lucy L, Researcher, Feinberg",a,"would use this app but needs to be easy to use.

need to ensure driver knows she is using app to help her feel safer",Customer Interview,Value Propositions,Feeling safe psychologically
2015-04-01,to teenagers: give parents enough information about their whereabouts without violating privacy,,,Business Model Hypothesis,Value Propositions,
2015-04-01,to parents: knowing your kid is safe driving or riding taxi services alone,,,Business Model Hypothesis,Value Propositions,
2015-04-01,Women cab users primarily,,,Business Model Hypothesis,Customer Segments,
2015-04-01,Teenagers & their parents,,,Business Model Hypothesis,Customer Segments,
2015-03-31,Helm Presentation 03/31/2015,,,Team Presentation,,
2015-03-16,Help the driver feel safe about the passenger,,,Business Model Hypothesis,Value Propositions,
2015-03-16,Provide a mechanism of early detection for misconduct when the user is in a third-party car,,,Business Model Hypothesis,Value Propositions,
2015-03-16,contacting authorities when threatened,,,Business Model Hypothesis,Value Propositions,
2015-03-16,Seeing if route is different from expected,,,Business Model Hypothesis,Value Propositions,
2015-03-16,Feeling safe psychologically,,,Business Model Hypothesis,Value Propositions,
2015-03-16,Young Professionals,,,Business Model Hypothesis,Customer Segments,
2015-03-03,Helm Presentation 03/03/2015,,,Team Presentation,,
2015-02-28,"In Person Meeting with Gitanjali Murthy, Student, Northwestern University",Gitanjali is a current student at Northwestern University who generally travels alone.She either walks or take a cab.She liked the idea of having a safety application which will guide here to the right route and also allow her to share there location.But here only concern is for the area where the network coverage is bad and the application won't .She wants a application that will also work in offline mode.,There is no network coverage in some area so if the signals are absent then it will be hard to use the application or hit the panic button.,Customer Interview,,
2015-02-27,"In Person Meeting with Amina Ismail, student, NU",https://docs.google.com/a/u.northwestern.edu/docum...Number 4,Amina is Egipcian and does not get scared easily. She is afraid of getting stolen by drivers who take advantage of the fact that she does not know Chicago's map.,Customer Interview,,
2015-02-24,"Video Chat with Michelle Azevedo, reporter, Extra",https://docs.google.com/a/u.northwestern.edu/docum...Number 2,Michelle would like to share the driver's information with her friends.,Customer Interview,,
2015-02-22,"Video Chat with Carolina Araújo, student, Columbia University",https://docs.google.com/a/u.northwestern.edu/docum...Number 1,"Carolina's main fears are: 1) driver choose an unknown path (kidnapping/sexual harassment); 2) be stolen by the driver; 3) accident
To address the second fear, she suggests that we use Waze to estimate the value of the ride.",Customer Interview,,
2015-02-24,"Video Chat with Mariana, CEO, Mariposa",https://docs.google.com/a/u.northwestern.edu/docum...Number 3,"Mariana suggests that we offer benefits for drivers in order to stimulate them to voluntarily make a profile on our app.
She suggests 3 features: 1) find the closest friend that can help you in case of violence; 2) the app may call the driver; 3) the app may call the police.",Customer Interview,,
2015-02-24,"In Person Meeting with Lisa C, Student, Northwestern",https://docs.google.com/a/u.northwestern.edu/document/d/1VzqvdkaveaAT0Fq4DwyRK_ANCVAmtS2O71m7moRwoss/edit,Has felt unsafe in cab before,Customer Interview,,
2015-02-24,"In Person Meeting with Angela S, Analyst, lasalle",https://docs.google.com/a/u.northwestern.edu/document/d/1VzqvdkaveaAT0Fq4DwyRK_ANCVAmtS2O71m7moRwoss/edit,Would feel safer with tracking system,Customer Interview,,
2015-02-24,"In Person Meeting with Wendy W, Associate, ZS Associates",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,"Has never felt unsafe in cab, but it would give her a better experience if safety included",Customer Interview,,
2015-02-24,"In Person Meeting with Steph Y, Analyst, BoA Merrill Lynch",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,Looks for most available cab but given that safety is the next priority,Customer Interview,,
2015-02-24,"In Person Meeting with Lynette, Analyst, FCB",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,Would like better safety taking cab to work everyday,Customer Interview,,
2015-02-24,"In Person Meeting with Kate, Analyst, Consulting",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,Would not take cab it it were unsafe. Working professional,Customer Interview,,
2015-02-24,"In Person Meeting with Sharon Chien, Student, Northwestern",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,Would feel safe in a cab but only with friends,Customer Interview,,
2015-02-10,"Phone Call with Noam Szpiro, developer, Lyft",https://docs.google.com/a/u.northwestern.edu/document/d/1380c9wE-a31saYBGY-Y_czkRlKQ43PevECkfVk-BvQ8/edit,"People don't give you a second chance if you are small.
it's incredibly hard for new companies to get in.
People are interested in seeing companies they know.",Customer Interview,,
2015-02-17,"In Person Meeting with Jesse Simmons, Student, Northwestern","23FemaleStudentiOS1-3 times a weekGoing out, Groceries, Meeting up with other people$10.01 -- $202Weekdays, late nightUberReliable drivers and safety, Cheapest prices, Reduce waiting timesHaving a detailed rating system (rather than one rating out of 5)Would pay up to 3x the normal priceI don't want to wait",23 cares about safety and doesnt want to wait. not price sensitive,Customer Interview,,
2015-02-17,"In Person Meeting with Megan Kramer, Student, Northwestern",23FemaleStudentiOSOnce a monthGoing out$10.01 -- $203WeekendsUberReliable drivers and safetyHaving a tracking system where your friends can see when you get on and off a cabWould pay up to 1.5x the normal priceFrom 5 to 15 minutes,23 uses service at night for going out. only cares about safety,Customer Interview,,
2015-02-17,"In Person Meeting with Antoinette Isama, Student, Northwestern","22FemaleStudentiOSOnce every other weekGoing out, To go to class either in Evanston or Downtown$10.01 -- $202WeekendsUberReliable drivers and safety, Cheapest prices, Reduce waiting timesGetting a past driver, who you know is safe, to pick you up againI don't use Uber if there are surge pricesUp to 5 minutes",22 years only uses uber and supports getting a previous driver. doesnt care about surge,Customer Interview,,
2015-02-17,"In Person Meeting with Rachel, Student, Northwestern","20FemaleStudentiOSOnce every other weekGoing out, Airport, Meeting up with other people$10.01 -- $202WeekendsUber, LyftCheapest pricesHaving a tracking system where your friends can see when you get on and off a cabWould pay up to 1.5x the normal priceUp to 5 minutes",Not really wanting to wait supports tracking system for safety,Customer Interview,,
2015-02-17,"In Person Meeting with Kate Ma, Consultant, IRI","23FemaleOtheriOSOnce a monthGoing out, Meeting up with other people$0 -- $103WeekendsUberCheapest pricesHaving a tracking system where your friends can see when you get on and off a cabWould pay up to 2x the normal priceI don't mind waiting 15 min, as long as it is reliable and safe",Would not mind waiting if it is reliable. Is a young professional who takes cabs to work,Customer Interview,,
2015-02-17,"In Person Meeting with Olivia, Student, Northwestern","19FemaleStudentiOSOnce every other weekMeeting up with other people$10.01 -- $202WeekendsUber, LyftReliable drivers and safety, Cheapest prices, Reduce waiting timesHaving a tracking system where your friends can see when you get on and off a cabWould pay up to 1.25x the normal priceFrom 5 to 15 minutes",Pretty standard college girl answer,Customer Interview,,
2015-02-17,"In Person Meeting with Danielle, Student, Northwestern","21FemaleStudentiOSOnce a month userGoing out$20.01 -- $304 othersWeekendsUber, LyftCheapest pricesHaving a tracking system where your friends can see when you get on and off a cabWould pay up to 1.5x the normal priceI don't mind waiting 15 min, as long as it is cheaper",Thinks a tracking system would improve safety but looking for cheapest prices.,Customer Interview,,
2015-02-16,"In Person Meeting with Jia Y, Consultant, Deloitte","Jia enjoys the convenience of Uber, but in recently times she had some unpleasant experiences because the cars were very dirty  She wish that she can have information on the cleaness of the car..","Jia enjoys the convenience of Uber, but in recently times she had some unpleasant experiences because the cars were very dirty  She wish that she can have information on the cleaness of the car..",Customer Interview,,
2015-02-16,"In Person Meeting with Nicky R, Marketing Manager, RedBox","Nicky described an instance that an Uber driver fell asleep when he was driving, she thinks Uber drivers are not as professional.","Nicky relies on cab driver's local knowledge, she believes that Uber is not as safe because the drivers often do not know the local area well.  She believes that the Uber drivers are not as professional and raises safety concerns.",Customer Interview,,
2015-02-16,"In Person Meeting with Ami T, Student, Kellogg","Ami does not feel that using Uber is unsafe.  She likes that Uber tracks the route.  Even when there's cab available, she prefers to take Uber.","Ami does not feel that using Uber is unsafe.  She likes that Uber tracks the route.  Even when there's cab available, she prefers to take Uber.",Customer Interview,,
2015-02-10,Helm Presentation 02/10/2015,https://drive.google.com/folderview?id=0BxDgcAjC_MXTfkJkX09tSC1RaWpkZVpyQXFHc3BoVV9kdGRfODU0Yy1Xbk9BTEFXTjRqM00&usp=sharing,,Team Presentation,,
2015-02-08,"In Person Meeting with Yuri Bae, Student, Northwestern","19FemaleStudentAndroidOnce a monthGoing out$20.01 -- $302 other passengersWeekendsUberCheapest pricesHaving a detailed rating system (rather than one rating out of 5)Would pay up to 1.5x the normal priceI don't mind waiting 15 min, as long as it is cheaper",Uses only for going out so does not matter if wait longer for Uber. Has Android,Customer Interview,,
2015-02-08,"In Person Meeting with Kristi L, Student, Northwestern","21FemaleStudentiOS1-3 times a weekGoing out, Groceries$0 -- $104 full carWeekendsUberReliable drivers and safety, Reduce waiting timesGetting a past driver, who you know is safe, to pick you up againWould pay up to 1.25x the normal priceFrom 5 to 15 minutes",Uses to buy groceries so average spend is low. Full car,Customer Interview,,
2015-02-08,"In Person Meeting with Lily, C, Northwestern","20FemaleStudentiOSOnce every other weekGoing out$10.01 -- $204WeekendsUberCheapest pricesGetting a past driver, who you know is safe, to pick you up againWould pay up to 1.25x the normal priceFrom 5 to 15 minutes",Standard response as other female students. Full car usually,Customer Interview,,
2015-02-08,"In Person Meeting with Sharon C, Student, Northwestern","21FemaleStudentiOS1-3 times a weekGoing out, Meeting up with other people, going to tech cuz im lazy$0 -- $102 other passengersWeekendsUber, LyftCheapest pricesHaving a detailed rating system (rather than one rating out of 5)depends on how many people are splitting the cabUp to 5 minutes",Would go Uber for short distances to class. Not price sensitive depends on people splitting it,Customer Interview,,
2015-02-08,"In Person Meeting with Jenny C, Student, Northwestern","19FemaleStudentiOSOnce a monthGoing out$0 -- $102 other passengers in carWeekdays, office hoursUber, LyftCheapest pricesHaving a tracking system where your friends can see when you get on and off a cabNever would pay above 1x the normal priceFrom 5 to 15 minutes",Rare user of service. Tracking systems where friends can see. Price sensitive.,Customer Interview,Key Partners,
2015-02-08,"In Person Meeting with Nancy W, Student, Northwestern","20FemaleStudentiOSOnce a monthGoing out, Meeting up with other people$10.01 -- $201 person in car usuallyWeekendsUberReliable drivers and safety, Cheapest prices, Reduce waiting times detailed rating on the interior of the car their service etc./comments made by users/report a driver if anything sketch happenedNever would pay above 1x the normal priceUp to 5 minutes",Rarely use services. Suggested reporting driver system for safety and comments in addition to ratings for drivers. Not willing to pay higher prices,Customer Interview,,
2015-02-08,"In Person Meeting with Helen C, Student, Northwestern","18FemaleStudentiOS1-3 times a weekGoing out, Airport, Meeting up with other people$0 -- $102 other passengersWeekendsUber, LyftReliable drivers and safety, Cheapest prices, Reduce waiting timesGetting a past driver, who you know is safe, to pick you up again is safe for herWould pay up to 1.25x the normal priceFrom 5 to 15 minutes","Female student wants safety, cheap prices and availability. Safety feature could be knowing a past driver.",Customer Interview,,
2015-02-08,"In Person Meeting with Angel Y, Student, Northwestern","18FemaleStudentiOSUses 1-3 times a weekGoing out, Meeting up with other people$0 -- $10 spent2 other passengersWeekendsUber, LyftReliable drivers and safety, Cheapest pricesHaving a tracking system where your friends can see when you get on and off a cabWould pay up to 1.5x the normal priceUp to 5 minutes",Pretty frequent user. Needs to be safe and cheap. Having tracking system for safety. Not willing to wait.,Customer Interview,,
2015-02-08,"In Person Meeting with Naomi C, Student, Northwestern","18FemaleStudentiOSUses 1-3 times a weekFor Going out, Airport, Meeting up with other people, When running late for class/meet-ups$0 -- $102 other passengersWeekendsKnows Uber, Lyft, American TaxiCheapest prices, Reduce waiting times.&nbsp;Safety feature is having a tracking system where your friends can see when you get on and off a cabWould pay up to 1.5x the normal price in surgeWilling to wait from 5 to 15 minutes","She wants reliable drivers, cheap prices and availability. Uses it when running late to class too. Not very price sensitive. Next time figure out which of 3 is highest priority",Customer Interview,,
2015-01-27,"In Person Meeting with Parul Gupta, Student, Northwestern University",ios$10 on an average for every ride.sometimes shares cab with friends.Uses cab to go to chicago or travel to college or come back late from friend’s place.Knows about uber and lyft but will switch to other apps if the cab is safe and cheap.Problems with long waiting time and high surge charge.User story: During the storm at evanston on sunday she got stuck in the library which closed at 6:00pm. She had to head home but the weather conditions were not suitable to take public transport. She searched for cab but couldn't find any uber or lyft. She got a uber after 20 mins and at very high price. It was a very inconvenient situation for her.,,Customer Interview,,
2015-01-28,"In Person Meeting with Abhinav Saboo, Student, Northwestern University",android$10-20 on an average for every ride.Share rides with a friend.Generally takes ride on weekend.Knows about uber and lyft but switch other other applications.Problem with cab is high surge charge at odd hours and has to wait for 10 mins.Will use cab which will provide cheapest and fastest cabs.Recommendation:It should provide cabs cheaper than big players like uber and lyft in the market.,,Customer Interview,,
2015-01-29,"In Person Meeting with Jane, student, Northwestern University",once a month$10-20 on an average for every ride.share ride with friendsVery loyal to Uber won't switch to other application since take cab very less and only with friends.,,Customer Interview,,
2015-01-29,"In Person Meeting with Melissa, student, Northwestern University","iosTakes cab on weekends,holidays-to go to chicago.$10-20 on an average for every ride.Take cab with friends.Can needs to be safe and come very fast.Uses just uber.Will use the application with other cab companiesUber is very usful but surge is getting very high.Will care about money if i have to take long ride like to downtown chicago.But in a weather like chicago will require cab to come as fast as possible.Will switch to new application if i save more than 3 dollars.Recommendation:App should not have advertisement.",,Customer Interview,,
2015-01-26,"In Person Meeting with Francisco Gonzalez, student, Northwestern University","iosTakes cab once every other week$10 on an average for every ride.share cab with one more person.Uses uber and lyft and are loyal to these companies.Knows about cab companies like sidecar,yellow cab,iTaxi.Have troubles with long waiting times and surge charges.Will use cheap price,reduced wait time and cab with higher quality than public transport.Will switch to other apps only if difference is $2 or more.generally cab have 5 min waiting time.Will use the app that aggregates small cab companiesRecommendation : :Learn from the mistakes of uber.",,Customer Interview,,
2015-02-02,"In Person Meeting with Gitanjali Murthy, student, Northwestern University",AndroidOnce a month$10 per ride on a averageRides alone.Gets a cab early morning or late night when public transport is not accessible.Use google services to get a cab.Will use our app if she gets safe and cheap cabs.Problem with other cabs is that they take surge charge or double the fare if you go beyond certain radius.Cabs approximately has 10 mins waiting time.Recommendations for app:It should be user friendly and simple to use.,,Customer Interview,,
2015-02-02,"In Person Meeting with Rogelio Reyna Garza, Student, Northwestern University","Uses cab once a week$20 per ride on a averageRides with three peopleUses uber only Generally uses cab on weekends to go to chicago,to friends place,airport,grocery shopping.He faces problem with uber in terms of surge charge.It gets too high during odd hours.He will take safe and cheap cabs.He will switch to other application if there is difference of $3 or more.User Story:He has problem with cabs around the airport.They fool you saying uber is not allowed here and charge you extra money.",,Customer Interview,,
2015-02-02,"In Person Meeting with Jake Stern, Student, Northwestern University","The interview confirmed that public transit is a large competitor and we would have to be significantly more convenient while also competitive in price to steal its customers, which may be unfeasible&nbsp;https://docs.google.com/document/d/1VzqvdkaveaAT0Fq4DwyRK_ANCVAmtS2O71m7moRwoss/edit?usp=sharing","Public transit really is a main competitor, and for some people is so cheap that there would be no way to convert",Customer Interview,,
2015-01-28,"In Person Meeting with Erik Zorn, Student, Northwestern University","Before the interview(s) we thought price was key, but we're realizing that price and convenience/speed are both extraordinarily importanthttps://docs.google.com/document/d/1VzqvdkaveaAT0Fq4DwyRK_ANCVAmtS2O71m7moRwoss/edit?usp=sharing","Surge prices tend to be pretty transient, so our app would need to have large supply to meet demand right away",Customer Interview,,
2015-02-02,"In Person Meeting with Emily Northard, Student, Northwestern University","Before this meeting we thought cities would be the primary market, but after realized areas with worse public transit may be better targethttps://docs.google.com/document/d/1VzqvdkaveaAT0F...",Public transportation is a viable alternative to our app. Might be large untapped suburban markets with poor public transit,Customer Interview,,
2015-01-21,"Email with Cindy Gelhaus, manager, Taxi Affiliaiton",https://docs.google.com/a/u.northwestern.edu/sprea...line 12,"Cindy is the manager of Taxi Affiliation, a co-op that aggregates companies such as Dispatch Taxi, Yellow Cab, American Taxi. She denied to talk to us because she considered that we were competitors. We must have another approach to reach out the cab companies. Phone and email are not working.",Customer Interview,,
2015-02-03,"In Person Meeting with Andrew R., Mr., K",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,"Andrew thinks price and wait time are the only things thaht matter.  If taxi cannot compete with Uber and Lyft on price, he won't use it",Customer Interview,,
2015-02-03,"In Person Meeting with Matt H, Mr., K",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,Matt cares about the price but usually is willing to wait for the surge to go down.  Money is the most important consideration,Customer Interview,,
2015-02-02,"In Person Meeting with Nicholas, student, NU",https://docs.google.com/a/u.northwestern.edu/sprea...line 11,"Nicholas liked the idea but stressed that our data must be 100% reliable. If he decided to wait longer and the ride ends up not being cheaper than the first option, he would never use the app again.",Customer Interview,,
2015-02-03,"In Person Meeting with Kate G, Ms., K",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,Kate wishes that she can call or text the drivers and she cares about the safety of her ride more than anything else.,Customer Interview,,
2015-02-03,"In Person Meeting with Justin S, Mr., K",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,Justin only uses Uber and Lyft and is not loyal to the app that he uses.  He does not use car services very often and care more about money than time,Customer Interview,,
2015-02-03,"In Person Meeting with David U, Mr., K",https://drive.google.com/file/d/0B90KUgvuF22xYjJnemphTUNFT3c/view?usp=sharing,"David uses car services very frequently, for his commute.  He is not very price sensitive and cares about safety and time more than anything else.",Customer Interview,,
